"id","name","ability_type"
"0","Oath of Moment","FACTION_RULE"
"1","Synapse","FACTION_RULE"
"2","Shadow in the Warp","FACTION_RULE"
"3","Waaagh!","FACTION_RULE"
"4","Reanimation Protocols","FACTION_RULE"
"5","Martial Ka’tah","FACTION_RULE"
"6","Combat Doctrines","DETACHMENT_RULE"
"7","Shield of the Imperium","DETACHMENT_RULE"
"8","Armoured Wrath","DETACHMENT_RULE"
"9","Close-range Eradication","DETACHMENT_RULE"
"10","Lightning Assault","DETACHMENT_RULE"
"11","Shadow Masters","DETACHMENT_RULE"
"12","Extremis-level Threat","DETACHMENT_RULE"
"13","Psychic Disciplines","DETACHMENT_RULE"
"14","Hyper-adaptations","DETACHMENT_RULE"
"15","Enraged Behemoths","DETACHMENT_RULE"
"16","Insurmountable Odds","DETACHMENT_RULE"
"17","Feed the Swarm","DETACHMENT_RULE"
"18","Questing Tendrils","DETACHMENT_RULE"
"19","Vanguard Prime","DETACHMENT_RULE"
"20","Synaptic Imperatives","DETACHMENT_RULE"
"21","Leader-beasts","DETACHMENT_RULE"
"22","Surprise Assault","DETACHMENT_RULE"
"23","Get Stuck In","DETACHMENT_RULE"
"24","Da Hunt Is On","DETACHMENT_RULE"
"25","Adrenaline Junkies","DETACHMENT_RULE"
"26","Try Dat Button!","DETACHMENT_RULE"
"27","Mob Mentality","DETACHMENT_RULE"
"28","Da Boss Is Watchin’","DETACHMENT_RULE"
"29","Lissen ’Ere","DETACHMENT_RULE"
"30","Dakka! Dakka! Dakka!","DETACHMENT_RULE"
"31","Command Protocols","DETACHMENT_RULE"
"32","Annihilation Protocol","DETACHMENT_RULE"
"33","Power Matrix","DETACHMENT_RULE"
"34","Worthy Foes","DETACHMENT_RULE"
"35","Hyperphasing","DETACHMENT_RULE"
"36","Relentless Onslaught","DETACHMENT_RULE"
"37","Revered Companions","DETACHMENT_RULE"
"38","Martial Mastery","DETACHMENT_RULE"
"39","Creeping Dread (Aura)","DETACHMENT_RULE"
"40","Assemblage of Might","DETACHMENT_RULE"
"41","Auric Armour","DETACHMENT_RULE"
"42","Against All Odds","DETACHMENT_RULE"
"43","Pistol","WEAPON_ABILITY"
"44","Devastating Wounds","WEAPON_ABILITY"
"45","Hazardous","WEAPON_ABILITY"
